numero_registro,marca_comercial,titular_registro,classe_categoria_agronomica,ingrediente_ativo,classificacao_toxicologica,classificacao_ambiental,formulacao,ingrediente_ativo_detalhado,documento_cadastrado,produto_formulado_vinculado,url_agrofit
TC17921,['Dicamba Técnico Nortox'],Nortox S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (965 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '965', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '96,5'}]","[{'descricao': 'Dicamba Técnico Nortox -Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '08/02/2024 11:55:18', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=475735&p_nm_file=F1845592294/Dicamba%20T%C3%A9cnico%20Nortox%20-R%C3%B3tulo.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Dicamba Nortox'], 'numero_registro': '46325', 'titular_registro': 'Nortox S.A.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=12693
TC26822,['Dicamba Técnico Nortox BR'],Nortox S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Dicamba Técnico Nortox BR - Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '13/02/2023 10:22:38', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=446143&p_nm_file=F407951404/Dicamba%20T%C3%A9cnico%20Nortox%20BR%20-%20R%C3%B3tulo.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=13459
TC07025,['Dicamba Técnico Nortox III'],Nortox S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Dicamba Técnico Nortox III -  Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '28/04/2025 12:07:04', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=519496&p_nm_file=F2036070798/Dicamba%20T%C3%A9cnico%20Nortox%20III%20-%20%20R%C3%B3tulo.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15661
TC12822,['Dicamba Técnico Nortox V'],Nortox S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Dicamba Técnico Nortox V - Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '06/06/2022 10:09:42', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=427234&p_nm_file=F1122141400/Dicamba%20T%C3%A9cnico%20Nortox%20V%20-%20R%C3%B3tulo.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=20230
TC07220,['Dicamba Técnico Ouro Fino'],Ouro Fino Química S.A.,['Herbicida'],['Dicamba (Ácido Benzóico) (970 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '970', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '97'}]","[{'descricao': 'RÓTULO: DICAMBA TÉCNICO OURO FINO, REGISTRO Nº TC07220', 'tipo_documento': 'Rótulo', 'data_inclusao': '05/06/2020 15:22:36', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=353727&p_nm_file=F1644336962/R%C3%B3tulo%20DICAMBA%20TC%20OURO%20FINO_05.06.2020.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=16026
TC06925,['Dicamba Técnico Pilarquim'],Pilarquim Br Comercial Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]",[],[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15348
TC08321,['Dicamba Técnico Prentiss'],Prentiss Química Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo', 'tipo_documento': 'Rótulo', 'data_inclusao': '22/06/2021 11:04:49', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=403846&p_nm_file=F597659123/R%C3%B3tulo%20Dicamba%20T%C3%A9cnico%20Pretiss%2020210622.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=14456
33417,['Dicamba Técnico Rainbow'],Rainbow Defensivos Agrícolas Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],I - Produto Extremamente Tóxico,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo Dicamba Técnico Rainbow', 'tipo_documento': 'Rótulo', 'data_inclusao': '29/12/2017 12:13:04', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=164824&p_nm_file=F1752688215/R%C3%B3tulo%20Dicamba%20Te?cnico%20Rainbow.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Rainvel DGA'], 'numero_registro': '42724/18Cancelado', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel Xtra'], 'numero_registro': '10320', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel'], 'numero_registro': '06022', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel DGA'], 'numero_registro': '15787/19R', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Dicare'], 'numero_registro': '26521', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Tranvel'], 'numero_registro': '26021', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Dicamba 700 WG Perterra'], 'numero_registro': '30724', 'titular_registro': 'Perterra Insumos Agropecuários S.A.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=11099
TC08722,['Dicamba Técnico SA'],Sinochem Agro do Brasil Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'ROTULO', 'tipo_documento': 'Rótulo', 'data_inclusao': '05/10/2023 11:45:14', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=466070&p_nm_file=F1260765866/ROTULO_10.23.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Rainvel Xtra'], 'numero_registro': '10320', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel'], 'numero_registro': '06022', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Dicamax LV'], 'numero_registro': '33322', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Engenia'], 'numero_registro': '21522', 'titular_registro': 'Basf S.A.'}, {'marca_comercial': ['Xtendicam'], 'numero_registro': '17816', 'titular_registro': 'Monsanto do Brasil Ltda'}, {'marca_comercial': ['Atectra'], 'numero_registro': '4916', 'titular_registro': 'Basf S.A.'}, {'marca_comercial': ['Dicare'], 'numero_registro': '26521', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Tranvel'], 'numero_registro': '26021', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15847
TC13423,['Dicamba Técnico SAU'],Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo_Dicamba Técnico SAU_Agrofit_16.05.2024', 'tipo_documento': 'Rótulo', 'data_inclusao': '16/05/2024 13:38:20', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=484060&p_nm_file=F2114533996/R%C3%B3tulo_Dicamba%20T%C3%A9cnico%20SAU_Agrofit_16.05.2024.docx.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Rainvel Xtra'], 'numero_registro': '10320', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Rainvel'], 'numero_registro': '06022', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Dicare'], 'numero_registro': '26521', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}, {'marca_comercial': ['Tranvel'], 'numero_registro': '26021', 'titular_registro': 'Rainbow Defensivos Agrícolas Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=19066
TC08822,['Dicamba Técnico SD'],Sharda do Brasil Comércio de Produtos Químicos e Agroquímicos LTDA,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo Dicamba Técnico SD 07.07.2022', 'tipo_documento': 'Rótulo', 'data_inclusao': '07/07/2022 13:56:03', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=430576&p_nm_file=F951878782/AGRFT%20DICAMBA%20T%C3%89CNICO%20SD%20%20ROT.pdf', 'origem': 'Rótulo e Certificado'}]",[],http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=12338
TC06620,['Dicamba Técnico SOGP'],AllierBrasil Agro Ltda.,['Herbicida'],['Dicamba (Ácido Benzóico) (980 g/kg)'],PT - O perfil toxicológico foi considerado equivalente ao PT de referência,II - Produto Muito Perigoso ao Meio Ambiente,TK - Técnico Concentrado,"[{'ingrediente_ativo': 'Dicamba', 'grupo_quimico': 'Ácido Benzóico', 'concentracao': '980', 'unidade_medida': 'Gramas por Kilogramas', 'percentual': '98'}]","[{'descricao': 'Rótulo Dicamba Técnico SOGP 06.05.2020', 'tipo_documento': 'Rótulo', 'data_inclusao': '06/05/2020 10:37:17', 'url': 'https://agrofit.agricultura.gov.br/agrofit_cons/agrofit.ap_download_blob_agrofit?p_id_file=343327&p_nm_file=F2136675993/2020.05.06%20AGRFT%20DICAMBA%20T%C3%89CNICO%20SOGP%20%20ROT.pdf', 'origem': 'Rótulo e Certificado'}]","[{'marca_comercial': ['Radical 480 SL'], 'numero_registro': '49119/18R', 'titular_registro': 'AllierBrasil Agro Ltda.'}, {'marca_comercial': ['Dicamba GP 480 SL'], 'numero_registro': '49808/18R', 'titular_registro': 'AllierBrasil Agro Ltda.'}, {'marca_comercial': ['Forge 480 SL'], 'numero_registro': '50220/18R', 'titular_registro': 'AllierBrasil Agro Ltda.'}]",http://agrofit.agricultura.gov.br/agrofit_cons/!agrofit.ap_produto_tec_detalhe_cons?p_titulo=Consulta%20de%20Produtos%20T%C3%A9cnicos&p_id_produto_formulado_tecnico=15866
